layer,neuron,max_corr,mean_corr,min_corr,max_baseline,min_baseline,mean_baseline,w_in_norm,input_bias,w_out_norm,in_out_sim,l2_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity,excess_corr
0,1313,0.9116,0.8995333333333333,0.886,0.2961,0.2211,0.2525666666666666,0.3260433,-0.11215664,0.59959495,0.10717521,0.4658183375403924,-0.38069114,0.2427673,3.792959,24.9497,-4.366394e-05,0.0018233565,0.02496619,2.771358,0.15918407,0.6469666666666667
0,1419,0.9023,0.8475,0.7812,0.2876,0.2703,0.2770333333333333,0.5023145,-0.36705232,0.619285,0.06257192,0.6358337681352499,-1.6209754,1.7434281,-0.6742422,2.381981,-0.00019326624,0.0013583594,-0.00073011173,2.9321077,0.036666363,0.5704666666666667
0,1438,0.7915,0.7484000000000001,0.711,0.2534,0.2389,0.2451,0.35017747,-0.09711213,0.5930062,0.1119713,0.4742806137340409,-0.88697857,0.8840101,-0.51062703,2.784764,0.00018366349,0.0013121823,0.023817437,3.0009804,0.16329886,0.5033000000000001
0,1463,0.8965,0.7791666666666667,0.666,0.2793,0.2595,0.2702666666666666,0.47739205,-0.3949963,0.5794493,0.091932416,0.5636646606736925,-1.8164177,2.2841775,-0.7309222,2.3427033,0.00094130356,0.0013954919,-0.023768876,2.9675152,0.031569745,0.5089000000000001
0,1493,0.9014,0.8306,0.7544,0.2413,0.2362,0.2392,0.3425955,-0.1487614,0.5577039,0.09197852,0.42840531669546,-0.5777115,0.28451046,1.7364645,9.395778,-0.00031092577,0.001404121,0.15160003,3.4769776,0.1340474,0.5914
0,1576,0.9917,0.9353333333333332,0.8823,0.392,0.3728,0.3831,0.42324254,-0.813858,0.6760043,0.108262986,0.6361160612841417,-0.97681904,1.0273684,3.24785,15.777645,-0.0007868207,0.0013456744,0.06780831,3.01794,0.05254282,0.5522333333333332
0,1583,0.9785,0.9672666666666668,0.9473,0.2278,0.2081,0.219,0.5245359,-0.284208,0.7118355,0.12967384,0.78184768944906,-1.3236717,1.2479535,0.069348045,3.5632164,-0.002610324,0.0014940078,0.13974158,3.0624878,0.060535207,0.7482666666666669
0,1613,0.955,0.9421333333333334,0.929,0.2769,0.2563,0.2691333333333333,0.35639936,-0.21283418,0.5839167,0.12606645,0.4679792163472995,-0.45373756,0.39193836,4.2972627,27.103638,0.00097512064,0.0012883348,0.093023606,3.0126235,0.1116786,0.673
0,1634,0.8936,0.8735333333333334,0.86,0.224,0.2183,0.2216666666666666,0.39076188,-0.09847246,0.62546337,0.0904512,0.5438992740728913,-1.0969489,1.1828022,-0.22735868,3.4076326,-0.0015060442,0.0011977396,0.014112387,3.0587575,0.13469507,0.6518666666666668
0,1766,0.84,0.8038,0.7734,0.1915,0.1598,0.1794,0.35722163,-0.096920654,0.5649152,0.14481936,0.4467364761308968,-0.54331857,0.28801093,1.3375429,14.966138,0.0003058397,0.0013209162,0.035980813,2.9819152,0.14547507,0.6244
0,1806,0.8584,0.7663666666666668,0.6787,0.2445,0.2281,0.2389666666666666,0.3467545,-0.049649373,0.56618005,0.12253407,0.4407985322882525,-0.54489434,0.36155713,1.0904849,6.4467444,-0.00021892911,0.0016560944,-0.009661259,2.9279773,0.18646972,0.5274000000000001
0,1901,0.9653,0.9086,0.8545,0.3108,0.25,0.2767,0.38580254,-0.131982,0.67835504,0.11227176,0.6090091601638532,-0.5916211,0.49946216,4.5304117,35.003742,-0.0007013448,0.0014276847,-0.029485125,2.881209,0.12170478,0.6318999999999999
0,2059,0.8955,0.7807666666666666,0.6094,0.2485,0.1979,0.2191,0.3610345,-0.13231236,0.56241935,0.12761793,0.4466614354446724,-0.4743901,0.2526139,1.727505,7.545037,-0.0032866444,0.0016335034,0.18272586,2.9558423,0.16881752,0.5616666666666666
0,2176,0.782,0.7582333333333334,0.7407,0.2502,0.2267,0.2347,0.36889198,-0.06673674,0.5084836,0.11006969,0.3946368643772804,-0.69002753,0.3997914,0.2356841,4.0883026,-0.00041653076,0.0011125959,0.06824826,3.1611044,0.16073321,0.5235333333333334
0,2202,0.848,0.7499333333333333,0.6914,0.2627,0.2274,0.2463999999999999,0.36971614,-0.101463094,0.5840485,0.1244616,0.4778026745287496,-0.9228386,0.8033572,-0.065971255,2.5763323,-1.1868195e-05,0.0013435464,0.031919137,3.0434856,0.16571982,0.5035333333333334
