,layer,neuron,max_corr,min_corr,max_baseline,min_baseline,excess_corr,input_weight_norm,input_bias,output_weight_norm,in_out_sim,weight_norm_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
8890,2,2746,0.94,0.881,0.3372,0.2615,0.544,0.7614393,-0.84593177,0.41919467,0.2296578,0.7555139789408989,-1.6845438,0.57010275,1.3316525,7.5407944,-0.00016480037,0.0012491015,-0.028114926,3.0380335,0.030668259
9002,2,2858,0.904,0.8125,0.2155,0.1783,0.597,0.7420887,-0.8815818,0.4567124,0.23765793,0.7592818549814502,-1.8980721,0.4039959,1.4990005,10.39359,0.00045814674,0.002113312,0.57939225,3.7114394,0.013934588
9092,2,2948,0.817,0.7476,0.1454,0.1365,0.602,0.78024805,-1.1940486,0.73019964,0.14396955,1.1419785337849322,-2.5884364,0.40184346,0.27450636,5.1880236,0.0011878676,0.0015965399,0.16179903,3.05459,0.0020280918
9125,2,2981,0.757,0.6016,0.09174,0.07654,0.51,0.7169751,-0.6551621,0.45861673,0.594488,0.7243825990559029,-1.7408221,0.36996233,1.2187734,6.6270213,-0.00028587584,0.0010513451,0.43933403,7.2609024,0.02010897
9167,2,3023,0.816,0.6587,0.1022,0.08984,0.5566,0.88396573,-1.2727091,0.79091144,0.23320295,1.4069363177373067,-2.7588665,0.64216846,0.6991597,6.0077276,0.0003774224,0.001979411,-0.03555417,2.7773864,0.004981732
9320,3,104,0.8755,0.7026,0.1776,0.1523,0.525,0.6361522,-0.7494055,0.40046018,0.04803659,0.5650579773304724,-1.7867165,0.8268499,0.6486956,3.714719,0.00058943115,0.0012348093,-0.06833941,2.9650738,0.052436143
9349,3,133,0.867,0.7173,0.201,0.1837,0.516,0.676036,-0.78147614,0.39333814,0.014592109,0.6117395656746596,-1.8384401,0.5499503,0.36363983,4.7511797,-0.00020057085,0.0012377735,0.019044554,3.0078564,0.013957689
9423,3,207,0.717,0.6616,0.1304,0.1094,0.5312,0.8172915,-1.3036664,0.77283233,0.23944077,1.2652352062654786,-3.0500245,0.78481054,0.67061734,4.214131,8.705896e-05,0.0013883727,0.11252639,3.0690598,0.004284969
9504,3,288,0.808,0.6294,0.1233,0.1004,0.506,0.8203281,-0.8308071,0.3924315,0.2331295,0.82694067384186,-1.8957515,0.4087742,0.7347741,5.824399,5.031458e-05,0.0012166386,0.075128525,3.0193014,0.008273761
9582,3,366,0.8247,0.771,0.2048,0.17,0.5664,0.7326638,-0.790694,0.49196544,0.35882556,0.7788262379848336,-2.0999048,0.8573956,0.13009599,2.9212666,-0.00024643802,0.0011742001,0.045557935,3.007012,0.010958079
9625,3,409,0.7773,0.734,0.1133,0.1019,0.6206,0.93511635,-1.3414018,0.6591662,0.23553865,1.3089426672597626,-3.0446756,0.70938057,0.6380347,5.72343,-0.0017328545,0.0016740643,0.16547076,2.9031403,0.004319252
9801,3,585,0.8,0.7124,0.1844,0.1661,0.528,0.8458493,-1.1316588,0.6300778,0.2047898,1.11245907236333,-2.491766,0.7654618,0.7565437,5.0288486,-0.00079236965,0.0017338552,0.50603724,4.0484858,0.014996281
9830,3,614,0.802,0.774,0.1589,0.1432,0.615,0.65613055,-0.6351179,0.31081823,0.4536926,0.5271152707436353,-1.3360155,0.4506027,0.5490799,5.078092,0.00012123379,0.0012775648,-0.005901264,3.2929466,0.037373748
9847,3,631,0.7856,0.6177,0.08636,0.0841,0.5312,0.7639849,-1.0911868,0.55663735,0.130013,0.8935180668430325,-2.425094,0.5066948,1.0816491,6.035868,0.0015736618,0.0016848758,0.29083863,3.2899172,0.008349589
9867,3,651,0.853,0.796,0.2391,0.1837,0.5566,0.62735367,-0.68784255,0.4290548,0.3322461,0.5776606486655089,-1.5949527,0.5613114,0.6047634,5.493925,0.00024364551,0.0010393105,-0.01263562,3.0258858,0.025754724
9910,3,694,0.7812,0.6665,0.1556,0.1439,0.5107,0.63876677,-0.6831222,0.44205347,0.08645288,0.6034342567952738,-1.7271734,0.5340155,1.4125049,5.970678,0.00055338227,0.0013691788,0.11709793,2.9784472,0.042332254
9914,3,698,0.79,0.724,0.2185,0.1796,0.506,0.74993265,-1.0038828,0.5088788,-0.15729891,0.8213566126254624,-2.8037953,0.63935465,0.4274659,3.90118,0.00039460554,0.0010908644,-0.016559394,2.9763956,0.004678804
9950,3,734,0.8047,0.7373,0.1383,0.12305,0.599,0.8268905,-1.3853998,0.68984735,-0.096096285,1.1596372652922724,-3.4591072,0.7266025,0.8251162,4.7868333,0.0007285153,0.001479123,-0.1593632,3.0042958,0.0032056337
10003,3,787,0.8755,0.7485,0.1588,0.1407,0.59,0.7934366,-1.1112446,0.5737894,-0.0034223353,0.9587759137719201,-2.6674585,0.6594348,0.61546224,6.4103756,0.00033655274,0.001253401,-0.00041649933,3.0755916,0.009143714
10028,3,812,0.734,0.69,0.1672,0.1515,0.5225,0.7870946,-1.3391509,0.80830353,0.0148869995,1.2728725059596209,-3.1957946,0.54309964,0.2482033,4.3011117,0.0009985223,0.0014872542,0.067756616,2.994289,0.0019172499
10046,3,830,0.716,0.695,0.1158,0.1046,0.579,0.71989065,-1.033034,0.6108612,-0.38150504,0.8913939536228623,-2.463907,0.45167312,1.3752973,6.792748,0.0014477241,0.0022746637,-0.21613123,2.7696657,0.010295934
10089,3,873,0.7153,0.687,0.1857,0.1724,0.5015,0.8134848,-0.7228111,0.5741189,0.20544206,0.9913700311682501,-2.2270765,0.56039804,0.2870222,4.0236735,0.0001780518,0.0010763834,0.076954894,3.0294385,0.0075112204
10120,3,904,0.8306,0.709,0.1239,0.1126,0.585,0.73392946,-1.2243018,0.65154976,0.068368405,0.9631695420119493,-2.6432889,0.4266638,1.0185987,7.359125,0.0012154216,0.0018061938,0.04456587,2.8377662,0.0054039177
10148,3,932,0.825,0.73,0.1586,0.1323,0.5713,0.84472233,-0.9713023,0.56997776,0.45840666,1.0384304616952464,-2.0674016,0.5037449,0.52050996,5.4633574,0.00020575014,0.0013195344,0.1533553,3.344096,0.0070954217
10165,3,949,0.832,0.6787,0.1509,0.1261,0.528,0.7953521,-0.9569521,0.42611918,0.48800933,0.8141625185382824,-2.1410804,0.46719232,0.88298345,7.2103863,-0.00096599763,0.001482896,0.35629293,3.767622,0.0071816137
10176,3,960,0.745,0.6816,0.1223,0.11597,0.5596,0.8666989,-1.2511884,0.614553,0.18153022,1.1288423730702102,-3.0704894,0.85897356,0.20324163,3.6109924,-0.00071529386,0.0014165844,0.011665407,2.9621618,0.0026127659
10181,3,965,0.8433,0.6997,0.086,0.0755,0.614,0.91649973,-1.5234495,0.7615493,0.08584509,1.419929091420563,-3.413062,0.7040104,0.58241695,4.8438745,0.00014852946,0.0014101512,0.02837668,2.9468257,0.002354602
10289,3,1073,0.8086,0.705,0.1792,0.1635,0.526,0.6444249,-0.84156185,0.50782984,0.24791543,0.6731745981344355,-2.0790117,0.4516747,1.351652,7.0641937,0.00068504905,0.001671347,0.25571495,3.186959,0.020382116
10313,3,1097,0.7437,0.657,0.1162,0.1089,0.541,0.803783,-1.2915089,0.6932052,0.14370544,1.12660056039604,-3.0492423,0.6159153,-0.089670464,3.9399073,-0.00014258262,0.0013503387,0.034911245,3.0907772,0.0009979145
10335,3,1119,0.8374,0.763,0.1203,0.1085,0.643,0.8541142,-1.3586555,0.68216676,0.14005406,1.1948625550905376,-3.0338755,0.7475282,0.6150934,5.959204,-0.0005712443,0.0013361964,-0.0025468895,2.9982371,0.0054953624
10471,3,1255,0.803,0.7593,0.2468,0.2245,0.5127,0.6562147,-1.0592943,0.7211304,-0.5367031,0.95064678630025,-2.417937,0.6511436,0.79872894,5.606205,0.00017419983,0.0010137769,0.035569448,3.006861,0.018632056
10585,3,1369,0.7466,0.663,0.156,0.1276,0.507,0.7511398,-0.7845042,0.4684691,0.23018628,0.78367429679885,-2.0293143,0.43856427,0.68575513,5.564145,0.0012152141,0.002475139,0.3878111,3.5210567,0.00819602
10647,3,1431,0.7725,0.6924,0.1293,0.1159,0.563,0.8494225,-1.2882606,0.6198567,0.09331308,1.10574091204114,-3.389525,0.91173303,0.35709667,3.7217698,-0.0011081877,0.0013009646,0.069745794,3.0064938,0.0028619282
11012,3,1796,0.8677,0.7173,0.1925,0.1619,0.525,0.6776763,-0.5301675,0.4001829,0.09274414,0.6193915210341001,-1.1954387,0.41156048,0.7135729,5.5647125,0.0001649772,0.0012192216,-0.0014753226,3.217071,0.047537047
11018,3,1802,0.8105,0.713,0.1478,0.0982,0.565,0.7759935,-1.0190434,0.4716812,0.3035483,0.82464906647569,-2.315095,0.56907517,0.81303805,6.3608766,0.0004982982,0.0016328279,0.07159728,3.0785623,0.00916961
11069,3,1853,0.85,0.695,0.1917,0.1625,0.503,0.72577316,-1.0364906,0.6147669,0.4176775,0.9046850211119957,-3.034438,0.62882555,0.21572895,3.8237958,0.00052504585,0.0012365081,0.034688707,3.0001714,0.00207786
11104,3,1888,0.843,0.708,0.1793,0.1594,0.529,0.7013659,-0.7078092,0.40411097,0.22877863,0.6552198017571509,-1.696977,0.5441057,1.0152655,6.7898192,0.00021465881,0.0011301831,-0.018195638,3.0074236,0.024677314
11172,3,1956,0.7954,0.7773,0.1874,0.1631,0.59,0.8171853,-0.66108835,0.47609133,0.39379343,0.894454769037259,-1.7039847,0.75394565,-0.16814451,4.26825,-0.00050707586,0.001358463,0.102766,3.0338929,0.034800522
11226,3,2010,0.822,0.749,0.2466,0.2106,0.5024,0.8197965,-0.9352682,0.50321794,0.23117307,0.9252945965500936,-2.1555884,0.6839094,0.24460658,3.7634673,-0.0002528334,0.0013058963,0.019729368,2.943129,0.008707191
11249,3,2033,0.763,0.632,0.0912,0.0763,0.5405,0.8494187,-1.4100223,0.77374387,0.10820433,1.3201917042722668,-3.3532498,0.6137704,0.5057864,4.6573114,-0.00032529226,0.0012598211,0.027597224,2.9378524,0.0015733436
11355,3,2139,0.7866,0.7056,0.1367,0.11,0.569,0.717393,-1.121583,0.7047697,0.12760475,1.01135304648709,-2.5349576,0.4356126,0.755633,6.2248163,0.00049460074,0.0014641329,0.16885942,3.1633136,0.0038006715
11401,3,2185,0.8174,0.6973,0.1501,0.1346,0.547,0.7845837,-1.0747654,0.52055395,0.32084772,0.8865479971662925,-2.2729642,0.5887987,1.074193,6.1098666,-0.00018779155,0.001202775,-0.042985667,2.9967196,0.014566049
11408,3,2192,0.712,0.637,0.1153,0.09753,0.522,0.87609684,-0.8921027,0.43894795,0.35407728,0.960220975867188,-1.9708824,0.505264,0.1591538,4.2527843,0.0004887704,0.0013914757,0.19071886,3.465035,0.0072385133
11443,3,2227,0.8486,0.692,0.1172,0.1008,0.5747,0.9880486,-1.0105723,0.46369788,0.073702365,1.1912557598784546,-2.5598068,0.7892225,0.3299573,4.496356,-0.00029379912,0.0013943154,-0.024074733,3.0131106,0.009530029
11623,3,2407,0.825,0.7744,0.1412,0.1305,0.6333,0.76801586,-0.7558166,0.4279222,0.22341472,0.7729657704643795,-1.8814918,0.58645093,0.18847518,4.5847225,0.00030942902,0.0012347546,-0.04854253,2.9853764,0.010895197
11658,3,2442,0.867,0.6455,0.10944,0.10706,0.536,0.8272186,-1.1250273,0.5327663,-0.020767694,0.96813054260165,-2.8397427,0.69104654,0.44791508,4.474579,0.00048077936,0.0014017154,-0.013275418,2.9802973,0.0050644027
11660,3,2444,0.817,0.7036,0.10626,0.08484,0.597,0.9077551,-1.3070705,0.67317957,0.21027975,1.277190055041395,-2.9578216,0.72388965,-0.044507097,4.4238725,0.0010450843,0.001449662,-0.12038318,2.9789648,0.0017038959
12016,3,2800,0.827,0.7246,0.199,0.1669,0.5254,0.6374507,-0.9627791,0.54847795,0.09991869,0.7071714565666926,-2.7547007,0.54272866,0.5137216,4.6014805,0.0012558842,0.0013935874,0.034429513,2.9672103,0.0043782867
12567,4,279,0.7827,0.7026,0.1443,0.1294,0.5586,0.7187751,-0.84070444,0.46495387,0.20501919,0.7328197456079869,-1.9946009,0.44156012,0.6867334,5.7202063,0.00016911284,0.001207781,0.07574497,3.085513,0.0077172797
