layer,neuron,max_corr,mean_corr,min_corr,max_baseline,min_baseline,mean_baseline,w_in_norm,input_bias,w_out_norm,in_out_sim,l2_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity,excess_corr
0,7,0.8027,0.7803,0.751,0.2284,0.1967,0.214,0.57727236,-0.625467,0.38461137,-0.04483377,0.4811692835532465,-1.2838225,0.6610467,-0.01561062,3.5532901,0.001826926,0.0020070903,0.5522756,3.690654,0.04866854,0.5663
0,39,0.893,0.8839,0.865,0.143,0.1251,0.133,0.5483689,-0.73739487,0.42523637,-0.08667691,0.4815344208579869,-0.70811784,0.19895731,2.1950521,21.82387,8.493477e-05,0.0011060707,-0.01719152,3.253983,0.06570951,0.7509
0,46,0.7856,0.712325,0.655,0.2272,0.1974,0.2072,0.5808356,-1.1068189,0.5312601,-0.014807673,0.61960728807937,-0.9614641,0.525908,0.2195002,2.8890603,-0.00028346555,0.0013545268,-0.1977823,3.2295887,0.11488159,0.505125
0,48,0.8706,0.8489,0.809,0.2751,0.2378,0.260325,0.5859925,-0.78446066,0.4304518,0.04098218,0.5286759621794901,-1.4286729,0.7878978,0.7616797,4.965849,7.0169954e-05,0.0011488436,0.022957664,2.9750729,0.056942593,0.5885750000000001
0,60,0.8423,0.6628499999999999,0.5312,0.1438,0.1227,0.1308,0.5152276,-0.9395056,0.369531,0.23276666,0.40201263976276,-0.8541904,0.30979466,0.6947626,6.427763,-0.00031410655,0.0011149365,0.09456246,3.4061208,0.067766316,0.5320499999999999
0,74,0.906,0.751675,0.5547,0.1954,0.1656,0.180675,0.58721554,-1.381174,0.41790107,0.13253513,0.5194633947246364,-1.4734694,0.58796495,0.3632338,3.7557845,-0.0006905364,0.001193822,0.025001435,3.0122328,0.041668408,0.571
0,76,0.844,0.79515,0.742,0.2125,0.1906,0.20215,0.5771982,-0.706026,0.36355317,0.10416148,0.4653286695002889,-1.0051986,0.5066035,0.569593,4.842406,-0.0002617844,0.0012904721,0.055622607,3.0166273,0.07622976,0.593
0,77,0.9863,0.97425,0.9507,0.317,0.261,0.28325,0.5540576,-0.92463905,0.50415146,-0.12845057,0.5611485187378916,-0.7288568,0.3469965,4.646904,36.794243,-0.00068671076,0.0013382469,0.53863007,4.7450943,0.027467359,0.691
0,90,0.979,0.934575,0.8623,0.379,0.2659,0.317775,0.70423853,-1.3647914,0.51916915,0.31186253,0.7654885134482834,-1.8179736,1.2339386,1.6931247,9.139512,0.00021393951,0.0010811053,0.07036397,3.20216,0.03287834,0.6168
0,97,0.9717,0.964775,0.957,0.2593,0.1996,0.23575,0.6642876,-1.6353343,0.34739915,0.25632465,0.5619641849344824,-1.60162,0.7686612,1.6938889,10.276216,0.0001942525,0.001338179,0.1644958,3.245355,0.03400718,0.729025
0,105,0.7876,0.7413,0.6953,0.2352,0.2125,0.229,0.46440658,-0.58859825,0.41670987,-0.017354663,0.3893205873027133,-0.51260537,0.21704958,1.2150947,9.07492,-0.0004756283,0.0012196663,0.14776266,3.1006334,0.14716852,0.5123
0,112,0.8916,0.836,0.804,0.1656,0.1244,0.145225,0.5426571,-0.753014,0.38859364,0.0071796784,0.4454817452288596,-0.8717614,0.24624428,1.7690111,12.8062935,-0.000566576,0.0014223356,0.117449835,3.012591,0.052773725,0.6907749999999999
0,122,0.9263,0.892175,0.7974,0.3547,0.3196,0.340625,0.33337978,-0.19959208,0.4477824,0.28055367,0.3116511554626084,-0.16844226,0.293729,0.62945765,2.8373485,0.00015365034,0.0010256697,0.036969155,3.006745,0.3772641,0.55155
0,126,0.7046,0.669475,0.6333,0.168,0.1499,0.1605,0.74015343,-1.5397371,0.54226786,0.36315334,0.8418815319297446,-1.8833343,0.34969082,0.5630237,4.102226,0.00028194595,0.0013174401,0.12104213,3.4275422,0.005977233,0.5089750000000001
0,142,0.897,0.8666,0.854,0.2446,0.1945,0.21495,0.57691044,-1.1659164,0.46074027,0.28401208,0.5451072521806665,-1.2488763,0.7767792,1.540217,8.144769,0.0001898191,0.0013345283,-0.04368874,3.2266047,0.05381635,0.6516500000000001
0,170,0.7935,0.657625,0.576,0.1262,0.11255,0.1173975,0.73436177,-2.2051852,0.6302812,-0.07266668,0.9365416003109728,-2.5783114,0.6681466,1.288712,7.3367114,0.0004085301,0.0012680398,0.025299076,3.1376212,0.014247729,0.5402275
0,196,0.9756,0.966525,0.9478,0.2484,0.2041,0.235375,0.6265001,-0.47912118,0.3260875,-0.1475797,0.49883543295626,-0.655172,0.34497452,3.1358645,16.624777,0.00080387865,0.0012870374,-0.020051854,3.1258914,0.07710938,0.73115
0,197,0.935,0.913625,0.883,0.3945,0.318,0.349475,0.53685325,-0.62104946,0.3390648,0.28117105,0.4031763506346024,-0.36568743,0.5271109,1.5625584,8.262212,-0.00029792578,0.0010425062,0.29082438,4.61952,0.2444944,0.56415
0,205,0.796,0.669125,0.5205,0.12256,0.09845,0.1148775,0.5887262,-0.9369805,0.38980368,0.011598423,0.4985454475079823,-1.0223154,0.21026094,1.7656697,14.22336,-2.248669e-06,0.001214243,0.073123306,3.19201,0.026394611,0.5542475
0,208,0.9307,0.922675,0.9116,0.1494,0.1384,0.1446,0.6757446,-1.9453259,0.511576,0.19842117,0.7183407682051601,-2.5200663,0.8554904,0.5464662,3.8199823,-3.924761e-05,0.001394162,-0.12306444,2.9746084,0.009385397,0.7780750000000001
0,214,0.8486,0.778275,0.705,0.1599,0.1443,0.15505,0.4847096,-1.2446775,0.47935146,0.15652172,0.4647212185362916,-2.1169004,0.8448129,1.0201634,4.0379333,0.0003088919,0.0012817102,-0.007370178,2.982984,0.03861268,0.623225
0,224,0.7163,0.6814,0.6157,0.1721,0.147,0.155125,0.5285187,-0.47321796,0.36719304,-0.086098425,0.4141627448741316,-0.66506934,0.24972185,0.805871,6.9827495,0.0006838711,0.0012369199,0.033303387,2.9820595,0.10785564,0.526275
0,228,0.801,0.751925,0.675,0.1791,0.1552,0.162325,0.71831244,-1.5657185,0.485584,0.30318785,0.7517645825147538,-1.7426732,0.41865292,1.2681863,7.7946467,-0.00040911202,0.001473357,0.15507483,3.1617968,0.017525671,0.5895999999999999
0,233,0.977,0.88685,0.7715,0.3567,0.2693,0.308375,0.20946868,-0.38313615,0.6028109,0.08536149,0.4072581090597524,-0.24753325,0.6857799,0.46855715,1.9132974,-0.0003025843,0.00047815812,-0.07992645,3.018932,0.37609988,0.5784750000000001
0,242,0.996,0.994325,0.9927,0.3867,0.3286,0.358825,0.6315044,-1.4638467,0.56207705,0.04104063,0.7147284173560624,-1.0594991,0.8456794,3.7961702,20.51236,0.00080706883,0.002277447,0.045264594,3.0859964,0.030157916,0.6355
0,262,0.8345,0.74915,0.7007,0.1454,0.1126,0.132625,0.63808984,-1.6644287,0.43133456,0.23365335,0.5932081465616192,-1.8301102,0.4384672,1.887561,12.710968,0.0006638746,0.0014308664,0.14193171,3.1529999,0.014176509,0.616525
0,281,0.965,0.96235,0.96,0.4028,0.2705,0.33525,0.57920784,-0.7797465,0.38696966,0.3824074,0.4852272396779812,-0.627303,0.90277237,1.3831967,5.6721787,-0.0003498808,0.0011694067,-0.079163834,2.9924896,0.19851829,0.6271
0,282,0.6753,0.62985,0.5825,0.129,0.1162,0.122925,0.625279,-0.9378961,0.37099135,-0.01880181,0.5286084096158226,-1.1674832,0.28751945,1.2716527,9.25673,0.00088310824,0.00150384,0.3302999,3.6018178,0.029337388,0.5069250000000001
0,309,0.9272,0.885825,0.8457,0.3171,0.2712,0.299675,0.62362134,-1.1650302,0.42044157,-0.0051220264,0.5656746894874605,-0.9132784,0.5173215,2.0253274,12.130692,-8.476921e-05,0.0015739264,0.4673863,5.2517915,0.11047893,0.58615
0,314,0.9463,0.938825,0.935,0.2329,0.2068,0.22415,0.48748645,-1.3662356,0.547287,0.30206048,0.5371660993026024,-1.46063,0.31562102,1.3355415,12.105111,-3.282923e-05,0.0013549367,-0.058045644,3.1480863,0.0134051535,0.7146750000000001
0,328,0.966,0.963225,0.9595,0.182,0.171,0.17635,0.5218008,-0.9075072,0.48189086,-0.16886361,0.5044948758321794,-0.8111922,0.23430276,5.5873113,57.272156,-3.8155035e-06,0.0011982655,0.06665601,3.493176,0.01911733,0.786875
0,341,0.7793,0.7071,0.64,0.1604,0.1465,0.154175,0.5802399,-0.78195906,0.42879194,0.1641009,0.5205408693609737,-1.2552009,0.33675247,0.8593318,6.520602,0.000103268954,0.001196484,0.035992943,3.0813768,0.030982597,0.5529249999999999
0,343,0.8877,0.84665,0.8193,0.1561,0.1356,0.1489,0.5116546,-0.7113272,0.4346228,-0.0020416155,0.4506874079809999,-0.76735103,0.22158886,2.1077702,16.301949,0.0003544134,0.0012600364,0.027938753,3.2326133,0.06011151,0.69775
0,354,0.8696,0.79375,0.6987,0.1427,0.1283,0.13415,0.58110493,-0.87409514,0.41373813,0.038290758,0.5088621798862017,-1.0976048,0.3597382,1.1292549,11.731079,0.0006688892,0.0012339245,-0.005824244,3.1503546,0.023458641,0.6596
0,443,0.927,0.9026,0.845,0.3428,0.2715,0.3021,0.54280275,-1.585784,0.6504146,-0.5534491,0.7176739773007224,-1.9885001,1.0511456,1.2441474,5.023369,-1.4770424e-05,0.0014762912,-0.36670852,3.3448584,0.06728227,0.6005
0,453,0.914,0.759075,0.662,0.195,0.1783,0.183075,0.6066328,-2.3015828,0.67317635,0.09919854,0.8211697522351624,-2.3389924,0.57970846,0.86660326,5.6786995,0.00028156128,0.0012387715,0.04748814,3.0307891,0.009048791,0.5760000000000001
